flight_id,departure_date,airline,status,monto_pago
SW7511,2026-11-25,SW,CANCELLED,1006.94
SW2563,2026-11-15,SW,DELAYED,335.55
AA4340,2026-11-16,AA,DELAYED,1477.71
SW5418,2026-11-15,SW,CANCELLED,120.07
SW3264,2026-11-14,SW,DELAYED,1273.61
SW4937,2026-11-20,SW,ON_TIME,1156.21
SW5320,2026-11-02,SW,CANCELLED,1337.14
AA7665,2026-11-04,AA,DELAYED,1259.41
UA2622,2026-11-22,UA,DELAYED,1256.21
SW9030,2026-11-21,SW,ON_TIME,704.02
DL7459,2026-11-29,DL,CANCELLED,882.4
AA1048,2026-11-20,AA,DELAYED,940.04
AA3473,2026-11-10,AA,DELAYED,1368.79
DL9980,2026-11-10,DL,ON_TIME,1012.4
AA5421,2026-11-11,AA,ON_TIME,1274.66
DL1066,2026-11-19,DL,DELAYED,1128.57
SW3129,2026-11-08,SW,CANCELLED,772.32
AA542,2026-11-30,AA,CANCELLED,386.89
UA6500,2026-11-14,UA,CANCELLED,952.06
UA5317,2026-11-13,UA,DELAYED,722.68
AA7082,2026-11-22,AA,ON_TIME,486.59
AA3419,2026-11-15,AA,ON_TIME,266.45
AA8391,2026-11-14,AA,CANCELLED,892.72
UA5572,2026-11-11,UA,CANCELLED,1436.73
UA6289,2026-11-24,UA,ON_TIME,694.47
UA3953,2026-11-05,UA,CANCELLED,1223.36
AA6666,2026-11-11,AA,DELAYED,1425.23
DL7700,2026-11-29,DL,DELAYED,266.85
SW2943,2026-11-05,SW,ON_TIME,1104.75
SW7355,2026-11-21,SW,CANCELLED,1202.48
DL4407,2026-11-18,DL,CANCELLED,939.65
SW3825,2026-11-28,SW,CANCELLED,1180.94
AA7232,2026-11-26,AA,DELAYED,950.51
UA2656,2026-11-20,UA,DELAYED,440.53
UA1248,2026-11-06,UA,ON_TIME,549.82
UA3288,2026-11-26,UA,DELAYED,1214.29
AA6304,2026-11-03,AA,ON_TIME,ERROR_TEXT
AA5541,2026-11-22,AA,ON_TIME,897.69
DL4527,2026-11-20,DL,ON_TIME,102.95
DL9762,2026-11-30,DL,ON_TIME,202.14
AA9311,2026-11-22,AA,DELAYED,340.02
UA6641,2026-11-30,UA,CANCELLED,284.04
DL9205,2026-11-22,DL,DELAYED,288.13
DL2679,2026-11-05,DL,ON_TIME,1106.19
AA5923,2026-11-15,AA,ON_TIME,514.8
SW2555,2026-11-02,SW,ON_TIME,1055.12
DL6102,2026-11-17,DL,DELAYED,573.27
UA5499,2026-11-17,UA,CANCELLED,447.35
,2026-11-21,DL,CANCELLED,957.48
UA838,2026-11-18,UA,CANCELLED,296.52
AA9769,2026-11-22,AA,ON_TIME,928.82
DL6568,2026-11-07,DL,DELAYED,1004.17
AA8916,2026-11-05,AA,CANCELLED,1053.85
UA9915,2026-11-09,UA,CANCELLED,1427.78
AA9571,2026-11-02,AA,ON_TIME,211.3
UA8767,2026-11-13,UA,DELAYED,639.3
SW1382,2026-11-23,SW,DELAYED,1187.62
AA9253,2026-11-20,AA,CANCELLED,1054.88
UA581,2026-11-26,UA,ON_TIME,577.28
UA521,2026-11-08,UA,ON_TIME,718.34
AA7894,2026-11-27,AA,CANCELLED,1148.6
UA6738,2026-11-24,UA,ON_TIME,872.04
AA6964,2026-11-07,AA,CANCELLED,333.95
AA5161,2026-11-02,AA,CANCELLED,1029.35
DL9157,2026-11-09,DL,ON_TIME,1141.75
DL6967,2026-11-10,DL,CANCELLED,842.63
SW2418,2026-11-11,SW,CANCELLED,610.3
DL7273,2026-11-12,DL,CANCELLED,206.44
DL2460,2026-11-07,DL,CANCELLED,924.89
SW2289,2026-11-14,SW,CANCELLED,966.88
AA4437,2026-11-12,AA,DELAYED,429.62
AA8874,2026-11-10,AA,CANCELLED,577.12
SW9953,2026-11-18,SW,DELAYED,891.31
AA7730,2026-11-02,AA,DELAYED,1236.49
AA8193,2026-11-04,AA,CANCELLED,129.77
AA7239,2026-11-12,AA,ON_TIME,610.6
UA8751,2026-11-24,UA,CANCELLED,1316.63
DL4434,2026-11-03,DL,DELAYED,190.44
DL4284,2026-11-25,DL,DELAYED,545.42
DL7881,2026-11-28,DL,ON_TIME,1002.61
